model_feature,extractor_feature,semantic_match,training_unit,extractor_unit,conversion_required,conversion_formula,confidence,evidence,notes,category,direction_convention,aggregation_convention
bwd_packet_length_mean,bwd_pkt_len_mean,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
bwd_packet_length_std,bwd_pkt_len_std,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,population std/variance; Python ddof=0 versus Java sample convention
flow_bytes_s,flow_byts_s,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,"Flow Bytes/s remains bytes/second as a unit, but its numerator semantics differ.",SEMANTIC_MISMATCH,not directional,named total/min/max/mean
flow_packets_s,flow_pkts_s,YES except zero-duration convention,packets/second,packets/second,EDGE-CASE ONLY,for duration>0 retain extractor value; historical zero-duration division yields non-finite and training preprocessing replaces non-finite with NaN for median imputation,HIGH,"Both divide total packets by seconds-equivalent duration; Java overall-rate emission divides by duration/1e6 without a zero guard, Python returns 0 when duration is 0",Do not scale this rate when converting the separate duration feature.,SEMANTIC_MISMATCH,not directional,same numerator/rate except zero-duration handling
flow_iat_mean,flow_iat_mean,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
flow_iat_std,flow_iat_std,NO: unit and standard-deviation convention differ,microseconds (sample standard deviation),seconds (population standard deviation),"YES, but scaling alone is insufficient",for IAT count n=total_fwd_packets + total_backward_packets - 1 and n>1: x_us_sample = x_seconds_population * 1_000_000 * sqrt(n/(n-1)); otherwise 0,HIGH,"hieulw utils.get_statistics uses numpy.var (population variance, ddof=0) and returns all zeros for lists of length <=1; BasicFlow.java emits Apache SummaryStatistics.getStandardDeviation/getVariance (sample convention); BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates",A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,SEMANTIC_MISMATCH,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation
flow_iat_max,flow_iat_max,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
flow_iat_min,flow_iat_min,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
fwd_iat_total,fwd_iat_tot,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
fwd_iat_mean,fwd_iat_mean,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
fwd_iat_std,fwd_iat_std,NO: unit and standard-deviation convention differ,microseconds (sample standard deviation),seconds (population standard deviation),"YES, but scaling alone is insufficient",for IAT count n=total_fwd_packets - 1 and n>1: x_us_sample = x_seconds_population * 1_000_000 * sqrt(n/(n-1)); otherwise 0,HIGH,"hieulw utils.get_statistics uses numpy.var (population variance, ddof=0) and returns all zeros for lists of length <=1; BasicFlow.java emits Apache SummaryStatistics.getStandardDeviation/getVariance (sample convention); BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates",A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,SEMANTIC_MISMATCH,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation
fwd_iat_max,fwd_iat_max,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
fwd_iat_min,fwd_iat_min,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
bwd_iat_total,bwd_iat_tot,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
bwd_iat_mean,bwd_iat_mean,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
bwd_iat_std,bwd_iat_std,NO: unit and standard-deviation convention differ,microseconds (sample standard deviation),seconds (population standard deviation),"YES, but scaling alone is insufficient",for IAT count n=total_backward_packets - 1 and n>1: x_us_sample = x_seconds_population * 1_000_000 * sqrt(n/(n-1)); otherwise 0,HIGH,"hieulw utils.get_statistics uses numpy.var (population variance, ddof=0) and returns all zeros for lists of length <=1; BasicFlow.java emits Apache SummaryStatistics.getStandardDeviation/getVariance (sample convention); BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates",A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,SEMANTIC_MISMATCH,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation
bwd_iat_max,bwd_iat_max,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
bwd_iat_min,bwd_iat_min,YES,microseconds,seconds,YES,x_us = x_seconds * 1_000_000,HIGH,"PacketTime uses Scapy packet.time differences directly; Scapy timestamps and Experiment C values are seconds-like; BasicFlow.java states duration is microseconds and divides duration by 1,000,000 only when producing per-second rates; Local CICIDS2017 MachineLearningCSV headers/statistics and reports/metrics/data_understanding.json",Apply only to this feature; per-second rates are audited independently.,UNIT_CONVERSION_REQUIRED,not directional,same named total/mean/min/max over packet IATs; zero conventions retained
fwd_psh_flags,fwd_psh_flags,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
bwd_psh_flags,bwd_psh_flags,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
fwd_urg_flags,fwd_urg_flags,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
bwd_urg_flags,bwd_urg_flags,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
fwd_header_length,fwd_header_len,UNCERTAIN,header bytes,IPv4 IHL bytes,UNDETERMINED,none authorized,MEDIUM,Python sums/minimizes IPv4 IHL*4; Java uses BasicPacketInfo.getHeaderBytes; prior provenance audit explicitly says exact parity needs separate validation,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",UNCERTAIN,not directional,directional sum
bwd_header_length,bwd_header_len,UNCERTAIN,header bytes,IPv4 IHL bytes,UNDETERMINED,none authorized,MEDIUM,Python sums/minimizes IPv4 IHL*4; Java uses BasicPacketInfo.getHeaderBytes; prior provenance audit explicitly says exact parity needs separate validation,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",UNCERTAIN,not directional,directional sum
fwd_packets_s,fwd_pkts_s,YES,packets/second,packets/second,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
bwd_packets_s,bwd_pkts_s,YES,packets/second,packets/second,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
min_packet_length,pkt_len_min,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
max_packet_length,pkt_len_max,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
packet_length_mean,pkt_len_mean,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
packet_length_std,pkt_len_std,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,population std/variance; Python ddof=0 versus Java sample convention
packet_length_variance,pkt_len_var,NO,payload bytes squared,Scapy packet length bytes squared,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,population std/variance; Python ddof=0 versus Java sample convention
fin_flag_count,fin_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
syn_flag_count,syn_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
rst_flag_count,rst_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
psh_flag_count,psh_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
ack_flag_count,ack_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
urg_flag_count,urg_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
cwe_flag_count,fwd_urg_flags,NO as genuine CWR/CWE semantics; YES only as released-dataset numeric artifact,binary/count artifact identical to Fwd URG Flags,forward URG flag count copied by policy,POLICY COPY,cwe_flag_count = fwd_urg_flags,HIGH,"reports/metrics/feature_provenance_audit.json audits all 2,830,743 local rows proves equality for all 2,830,743 rows; Python cwr_flag_count is itself assigned from fwd_urg_flags",The policy does not claim genuine TCP CWR equivalence. Raw CICIDS2017 header says CWE; original Java intended CWR.,DATASET_ARTIFACT_REPRODUCTION,not directional,
ece_flag_count,ece_flag_cnt,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,,EXACT,not directional,packet count / direct field / per-second directional count as named
down_up_ratio,down_up_ratio,NO,dimensionless integer-division packet ratio,dimensionless floating packet ratio,YES if reproducing released Java arithmetic,"floor(total_backward_packets / total_fwd_packets) for positive forward count, else 0",HIGH,Java casts after integer division; Python performs backward_size / forward_size; CICIDS2017 column dtype is integer,"This is aggregation/arithmetic provenance, not a performance-motivated threshold.",SEMANTIC_MISMATCH,not directional,integer quotient versus real-valued ratio
average_packet_size,pkt_size_avg,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
avg_fwd_segment_size,fwd_seg_size_avg,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
avg_bwd_segment_size,bwd_seg_size_avg,NO,payload bytes,Scapy packet length bytes,NOT DERIVABLE FROM AGGREGATE,none; requires packet-level payload-byte re-extraction under the historical definition,HIGH,Python PacketLength and FlowBytes sum len(packet); historical BasicFlow.java adds packet.getPayloadBytes() to forward/backward/flow statistics and byte totals,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,SEMANTIC_MISMATCH,not directional,named total/min/max/mean
fwd_header_length.1,fwd_header_length,YES only as duplicate training-schema artifact,bytes (duplicate of Fwd Header Length),bytes copied from adapted fwd_header_length,POLICY COPY,fwd_header_length.1 = fwd_header_length,HIGH,"reports/metrics/feature_provenance_audit.json audits all 2,830,743 local rows proves duplicate raw header and identical values for all 2,830,743 rows",No second independent extractor measurement exists.,DATASET_ARTIFACT_REPRODUCTION,not directional,
fwd_avg_bytes_bulk,fwd_byts_b_avg,UNCERTAIN,bytes/bulk,bytes/bulk (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
fwd_avg_packets_bulk,fwd_pkts_b_avg,UNCERTAIN,packets/bulk,packets/bulk (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
fwd_avg_bulk_rate,fwd_blk_rate_avg,UNCERTAIN,bytes/second during qualifying bulks,bytes/second during qualifying bulks (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
bwd_avg_bytes_bulk,bwd_byts_b_avg,UNCERTAIN,bytes/bulk,bytes/bulk (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
bwd_avg_packets_bulk,bwd_pkts_b_avg,UNCERTAIN,packets/bulk,packets/bulk (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
bwd_avg_bulk_rate,bwd_blk_rate_avg,UNCERTAIN,bytes/second during qualifying bulks,bytes/second during qualifying bulks (claimed),UNDETERMINED,none authorized,LOW,"Both implementations expose similarly named bulk accumulators, but no packet-level parity test exists; all six training features are constant zero in the repository feature audit","Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",UNCERTAIN,not directional,qualifying directional bulk averages/rate; exact parity unverified
subflow_fwd_packets,subflow_fwd_pkts,NO,packets per subflow,whole-flow packet total,NOT DERIVABLE FROM EMITTED AGGREGATE,none; requires historical 1-second-gap subflow construction and payload-byte accounting,HIGH,Python Flow.get_data assigns subflow fields directly from total packet/length fields; Java divides directional totals by sfCount after detecting >1-second gaps,Equality on single-subflow flows does not establish semantic equivalence.,SEMANTIC_MISMATCH,not directional,Python whole-flow duplicate versus Java average per detected subflow
subflow_fwd_bytes,subflow_fwd_byts,NO,payload bytes per subflow,whole-flow Scapy packet-length total,NOT DERIVABLE FROM EMITTED AGGREGATE,none; requires historical 1-second-gap subflow construction and payload-byte accounting,HIGH,Python Flow.get_data assigns subflow fields directly from total packet/length fields; Java divides directional totals by sfCount after detecting >1-second gaps,Equality on single-subflow flows does not establish semantic equivalence.,SEMANTIC_MISMATCH,not directional,Python whole-flow duplicate versus Java average per detected subflow
subflow_bwd_packets,subflow_bwd_pkts,NO,packets per subflow,whole-flow packet total,NOT DERIVABLE FROM EMITTED AGGREGATE,none; requires historical 1-second-gap subflow construction and payload-byte accounting,HIGH,Python Flow.get_data assigns subflow fields directly from total packet/length fields; Java divides directional totals by sfCount after detecting >1-second gaps,Equality on single-subflow flows does not establish semantic equivalence.,SEMANTIC_MISMATCH,not directional,Python whole-flow duplicate versus Java average per detected subflow
subflow_bwd_bytes,subflow_bwd_byts,NO,payload bytes per subflow,whole-flow Scapy packet-length total,NOT DERIVABLE FROM EMITTED AGGREGATE,none; requires historical 1-second-gap subflow construction and payload-byte accounting,HIGH,Python Flow.get_data assigns subflow fields directly from total packet/length fields; Java divides directional totals by sfCount after detecting >1-second gaps,Equality on single-subflow flows does not establish semantic equivalence.,SEMANTIC_MISMATCH,not directional,Python whole-flow duplicate versus Java average per detected subflow
init_win_bytes_forward,init_fwd_win_byts,NO for all edge/update cases,TCP advertised window field (bytes),TCP advertised window field (bytes),NOT A UNIT CONVERSION,none from emitted aggregate; select according to historical packet/update convention during re-extraction,HIGH,Python stores first nonzero window per direction; Java initializes forward from first forward packet and overwrites backward window on later backward packets,"Unit matches, but forward selection/update convention is not fully identical.",SEMANTIC_MISMATCH,first-packet forward/reverse,packet selection convention differs
init_win_bytes_backward,init_bwd_win_byts,NO for all edge/update cases,TCP advertised window field (bytes),TCP advertised window field (bytes),NOT A UNIT CONVERSION,none from emitted aggregate; select according to historical packet/update convention during re-extraction,HIGH,Python stores first nonzero window per direction; Java initializes forward from first forward packet and overwrites backward window on later backward packets,"Unit matches, but backward selection/update convention is not fully identical.",SEMANTIC_MISMATCH,first-packet forward/reverse,packet selection convention differs
act_data_pkt_fwd,fwd_act_data_pkts,YES,count,count,NO,identity,HIGH,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,First observed packet defines forward direction in both implementations.,EXACT,first-packet initiator is forward,packet count / direct field / per-second directional count as named
